motif,tf,num,protection_score_ctrl,protection_score_treat,tc_ctrl,tc_treat,tf_activity,z_score,p_value
MA0681.2.PHOX2B,PHOX2B,9258,2.19465,3.341246,0.722218,1.079891,1.504269,5.2278,1.71539245330977e-07
MA0601.1.Arid3b,Arid3b,6209,2.213139,3.327633,0.737399,1.089771,1.466866,5.090288,3.575199975501514e-07
MA0135.1.Lhx3,Lhx3,6700,2.009558,3.060463,0.709357,1.054002,1.39555,4.828095,1.3784558276782572e-06
MA0715.1.PROP1,PROP1,6821,1.821089,2.761479,0.658587,0.975679,1.257482,4.320487,1.556852887974541e-05
MA0713.1.PHOX2A,PHOX2A,4955,1.724227,2.58995,0.666959,0.97703,1.175793,4.020156,5.8159551582988767e-05
MA0679.2.ONECUT1,ONECUT1,4411,1.699004,2.51522,0.631475,0.917756,1.102497,3.750683,0.0001763536004747
MA0757.1.ONECUT3,ONECUT3,3710,1.563033,2.337322,0.586274,0.850645,1.03866,3.515984,0.0004381271207667
MA0602.1.Arid5a,Arid5a,3268,1.430305,2.133508,0.670882,0.993958,1.02628,3.470469,0.0005195498523465
MA0756.1.ONECUT2,ONECUT2,2568,1.509398,2.243033,0.580842,0.836444,0.989236,3.334279,0.0008552068571342
MA0791.1.POU4F3,POU4F3,5573,1.535519,2.265052,0.595768,0.848875,0.98264,3.31003,0.000932860408677
MA0790.1.POU4F1,POU4F1,6302,1.508936,2.229574,0.599286,0.855742,0.977096,3.289645,0.0010031399949412
MA0046.2.HNF1A,HNF1A,4310,1.405794,2.084553,0.515789,0.723693,0.886663,2.957167,0.0031047988797525
MA0702.2.LMX1A,LMX1A,3931,1.438443,2.114301,0.494175,0.696311,0.877995,2.925299,0.0034412558107613
MA1471.1.BARX2,BARX2,4421,1.305738,1.952605,0.523677,0.752231,0.875422,2.91584,0.003547328394119
MA1113.2.PBX2,PBX2,3958,1.317915,1.966383,0.514845,0.733906,0.867529,2.886824,0.0038915223698304
MA0683.1.POU4F2,POU4F2,4894,1.47078,2.111067,0.5896,0.813881,0.864568,2.875937,0.0040283070129214
MA0680.1.PAX7,PAX7,3291,1.326086,1.94888,0.576158,0.815392,0.862027,2.866594,0.0041491510957369
MA0901.2.HOXB13,HOXB13,6585,1.182887,1.773509,0.613319,0.877204,0.854507,2.838945,0.0045262905272537
MA0151.1.Arid3a,Arid3a,12366,1.329884,1.957653,0.537508,0.763347,0.853608,2.835642,0.0045733632985167
MA1640.1.MEIS2(var.2),MEIS2,3008,1.278342,1.905554,0.527489,0.751774,0.851497,2.827882,0.0046857133913858
MA0041.1.Foxd3,Foxd3,11280,1.336749,1.969247,0.510648,0.719172,0.841023,2.789372,0.0052810433057064
MA0704.1.Lhx4,Lhx4,4034,1.339121,1.960551,0.478168,0.667325,0.810588,2.677477,0.007417887892783
MA0621.1.mix-a,mix-a,3868,1.283413,1.893783,0.480508,0.674418,0.80428,2.654286,0.0079476342651553
MA0780.1.PAX3,PAX3,3099,1.241387,1.823663,0.535926,0.756471,0.80282,2.64892,0.0080749326002981
MA0874.1.Arx,Arx,2217,1.253492,1.841805,0.53813,0.745861,0.796044,2.624006,0.0086902152988491
MA0153.2.HNF1B,HNF1B,3730,1.29774,1.899813,0.509771,0.702307,0.794609,2.618733,0.0088257086289754
MA0675.1.NKX6-2,NKX6-2,4156,1.326591,1.932239,0.488675,0.675955,0.792928,2.612551,0.0089869190227732
MA0052.4.MEF2A,MEF2A,7383,1.156767,1.714527,0.538248,0.771502,0.791014,2.605515,0.009173626207435
MA0707.1.MNX1,MNX1,4349,1.175805,1.733654,0.494296,0.698226,0.761779,2.498033,0.0124884721303296
MA0674.1.NKX6-1,NKX6-1,4140,1.24338,1.807579,0.471821,0.655297,0.747675,2.446177,0.0144379957880981
MA0773.1.MEF2D,MEF2D,5117,1.172921,1.699174,0.510121,0.717819,0.733951,2.395724,0.0165875967095719
MA0703.2.LMX1B,LMX1B,3913,1.125238,1.653696,0.486914,0.687014,0.728557,2.37589,0.0175066701091153
MA0497.1.MEF2C,MEF2C,6486,1.144995,1.654037,0.518699,0.728291,0.718634,2.33941,0.0193142366634475
MA1463.1.ARGFX,ARGFX,4133,1.176843,1.711647,0.463977,0.641676,0.712502,2.316866,0.0205110345119114
MA0721.1.UNCX,UNCX,3810,1.202137,1.741761,0.452037,0.61716,0.704746,2.288351,0.0221171009257776
MA0723.1.VAX2,VAX2,3331,1.126532,1.632255,0.426402,0.57928,0.658601,2.118698,0.0341159914759312
MA0722.1.VAX1,VAX1,3331,1.126532,1.632255,0.426402,0.57928,0.658601,2.118698,0.0341159914759312
MA0660.1.MEF2B,MEF2B,4332,1.074933,1.542115,0.487603,0.67867,0.658249,2.117403,0.0342256249538493
MA0628.1.POU6F1,POU6F1,3872,1.057318,1.545121,0.430916,0.597948,0.654835,2.10485,0.0353043626565727
MA0899.1.HOXA10,HOXA10,4165,0.920239,1.369054,0.509275,0.713903,0.653442,2.099732,0.0357524612074987
MA0726.1.VSX2,VSX2,3389,1.10044,1.605921,0.409119,0.556283,0.652644,2.096795,0.0360117243297057
MA0725.1.VSX1,VSX1,3389,1.10044,1.605921,0.409119,0.556283,0.652644,2.096795,0.0360117243297057
MA0898.1.Hmx3,Hmx3,2554,0.952085,1.399692,0.506679,0.707983,0.648911,2.083072,0.037244669124284
MA0846.1.FOXC2,FOXC2,9541,1.164969,1.646823,0.465614,0.630284,0.646524,2.074294,0.0380519683584323
MA0630.1.SHOX,SHOX,3687,1.137521,1.624321,0.442765,0.581896,0.625932,1.998588,0.0456529251247686
MA0720.1.Shox2,Shox2,3687,1.137521,1.624321,0.442765,0.581896,0.625932,1.998588,0.0456529251247686
MA0717.1.RAX2,RAX2,3687,1.137521,1.624321,0.442765,0.581896,0.625932,1.998588,0.0456529251247686
MA0716.1.PRRX1,PRRX1,3687,1.137521,1.624321,0.442765,0.581896,0.625932,1.998588,0.0456529251247686
MA0654.1.ISX,ISX,3687,1.137521,1.624321,0.442765,0.581896,0.625932,1.998588,0.0456529251247686
MA0845.1.FOXB1,FOXB1,7993,1.16683,1.623689,0.486458,0.654081,0.624482,1.993257,0.0462333168024293
MA0032.2.FOXC1,FOXC1,8283,1.153456,1.610993,0.472355,0.635694,0.620875,1.979998,0.0477037433045055
